Clock,Call,Arrival,Wait,Start,Service,Queue
time,number,time,time,time,time,size

5,1,1,0,1,5,3
10,2,3,3,6,5,7
12,3,4,7,11,2,7
13,4,5,8,13,1,6
14,5,6,8,14,1,6
18,6,7,8,15,4,7
23,7,8,11,19,5,10
26,8,9,15,24,3,10
27,9,10,17,27,1,9
28,10,12,16,28,1,8
33,11,14,15,29,5,8
37,12,15,19,34,4,10
42,13,16,22,38,5,13
47,14,19,24,43,5,15
51,15,21,27,48,4,17
53,16,22,30,52,2,16
58,17,23,31,54,5,16
61,18,26,33,59,3,16
64,19,33,29,62,3,15
67,20,34,31,65,3,14
71,21,36,32,68,4,13
76,22,37,35,72,5,12
80,23,38,39,77,4,11
84,24,40,41,81,4,10
85,25,41,44,85,1,9
86,26,42,44,86,1,8
91,27,43,44,87,5,7
95,28,46,46,92,4,6
99,29,47,49,96,4,5
100,30,48,52,100,1,4
101,31,49,52,101,1,3
104,32,51,51,102,3,2
109,33,56,49,105,5,1
113,34,59,51,110,4,0
